service_id,date,exception_type
0000000052019112520200626,20191231,2
0000000052019112520200626,20200101,2
0000000052019112520200626,20200102,2
0000000052019112520200626,20200103,2
0000000052019112520200626,20200104,2
0000000052019112520200626,20200106,2
0000000052019112520200626,20200222,2
0000000052019112520200626,20200224,2
0000000052019112520200626,20200225,2
0000000052019112520200626,20200409,2
0000000052019112520200626,20200410,2
0000000052019112520200626,20200411,2
0000000052019112520200626,20200413,2
0000000052019112520200626,20200414,2
0000000052019112520200626,20200425,2
0000000052019112520200626,20200501,2
0000000052019112520200626,20200502,2
0000000052019112520200626,20200601,2
0000000052019112520200626,20200602,2
0000000052019112520200626,20200611,2
0000000052019112520200626,20200612,2
0000000052019112520200626,20200613,2
0000000052019112520200626,20200615,2
0000000052019112520200626,20200616,2
0000000052019112520200626,20200617,2
0000000052019112520200626,20200618,2
0000000052019112520200626,20200619,2
0000000052019112520200626,20200620,2
0000000052019112520200626,20200622,2
0000000052019112520200626,20200623,2
0000000052019112520200626,20200624,2
0000000052019112520200626,20200625,2
0000000052019112520200626,20200626,2
0000000062019091220200626,20191207,2
0000000062019091220200626,20191223,2
0000000062019091220200626,20191224,2
0000000062019091220200626,20191225,2
0000000062019091220200626,20191226,2
0000000062019091220200626,20191227,2
0000000062019091220200626,20191228,2
0000000062019091220200626,20191230,2
0000000062019091220200626,20191231,2
0000000062019091220200626,20200101,2
0000000062019091220200626,20200102,2
0000000062019091220200626,20200103,2
0000000062019091220200626,20200104,2
0000000062019091220200626,20200106,2
0000000062019091220200626,20200222,2
0000000062019091220200626,20200224,2
0000000062019091220200626,20200225,2
0000000062019091220200626,20200409,2
0000000062019091220200626,20200410,2
0000000062019091220200626,20200411,2
0000000062019091220200626,20200413,2
0000000062019091220200626,20200414,2
0000000062019091220200626,20200425,2
0000000062019091220200626,20200501,2
0000000062019091220200626,20200502,2
0000000062019091220200626,20200601,2
0000000062019091220200626,20200602,2
0000000062019091220200626,20200611,2
0000000062019091220200626,20200612,2
0000000062019091220200626,20200613,2
0000000062019091220200626,20200615,2
0000000062019091220200626,20200616,2
0000000062019091220200626,20200617,2
0000000062019091220200626,20200618,2
0000000062019091220200626,20200619,2
0000000062019091220200626,20200620,2
0000000062019091220200626,20200622,2
0000000062019091220200626,20200623,2
0000000062019091220200626,20200624,2
0000000062019091220200626,20200625,2
0000000062019091220200626,20200626,2
0000000062019091820200626,20191207,2
0000000062019091820200626,20191223,2
0000000062019091820200626,20191224,2
0000000062019091820200626,20191225,2
0000000062019091820200626,20191226,2
0000000062019091820200626,20191227,2
0000000062019091820200626,20191228,2
0000000062019091820200626,20191230,2
0000000062019091820200626,20191231,2
0000000062019091820200626,20200101,2
0000000062019091820200626,20200102,2
0000000062019091820200626,20200103,2
0000000062019091820200626,20200104,2
0000000062019091820200626,20200106,2
0000000062019091820200626,20200222,2
0000000062019091820200626,20200224,2
0000000062019091820200626,20200225,2
0000000062019091820200626,20200409,2
0000000062019091820200626,20200410,2
0000000062019091820200626,20200411,2
0000000062019091820200626,20200413,2
0000000062019091820200626,20200414,2
0000000062019091820200626,20200425,2
0000000062019091820200626,20200501,2
0000000062019091820200626,20200502,2
0000000062019091820200626,20200601,2
0000000062019091820200626,20200602,2
0000000062019091820200626,20200611,2
0000000062019091820200626,20200612,2
0000000062019091820200626,20200613,2
0000000062019091820200626,20200615,2
0000000062019091820200626,20200616,2
0000000062019091820200626,20200617,2
0000000062019091820200626,20200618,2
0000000062019091820200626,20200619,2
0000000062019091820200626,20200620,2
0000000062019091820200626,20200622,2
0000000062019091820200626,20200623,2
0000000062019091820200626,20200624,2
0000000062019091820200626,20200625,2
0000000062019091820200626,20200626,2
0000000062019091920200626,20191207,2
0000000062019091920200626,20191223,2
0000000062019091920200626,20191224,2
0000000062019091920200626,20191225,2
0000000062019091920200626,20191226,2
0000000062019091920200626,20191227,2
0000000062019091920200626,20191228,2
0000000062019091920200626,20191230,2
0000000062019091920200626,20191231,2
0000000062019091920200626,20200101,2
0000000062019091920200626,20200102,2
0000000062019091920200626,20200103,2
0000000062019091920200626,20200104,2
0000000062019091920200626,20200106,2
0000000062019091920200626,20200222,2
0000000062019091920200626,20200224,2
0000000062019091920200626,20200225,2
0000000062019091920200626,20200409,2
0000000062019091920200626,20200410,2
0000000062019091920200626,20200411,2
0000000062019091920200626,20200413,2
0000000062019091920200626,20200414,2
0000000062019091920200626,20200425,2
0000000062019091920200626,20200501,2
0000000062019091920200626,20200502,2
0000000062019091920200626,20200601,2
0000000062019091920200626,20200602,2
0000000062019091920200626,20200611,2
0000000062019091920200626,20200612,2
0000000062019091920200626,20200613,2
0000000062019091920200626,20200615,2
0000000062019091920200626,20200616,2
0000000062019091920200626,20200617,2
0000000062019091920200626,20200618,2
0000000062019091920200626,20200619,2
0000000062019091920200626,20200620,2
0000000062019091920200626,20200622,2
0000000062019091920200626,20200623,2
0000000062019091920200626,20200624,2
0000000062019091920200626,20200625,2
0000000062019091920200626,20200626,2
0000000062019092020200626,20191207,2
0000000062019092020200626,20191223,2
0000000062019092020200626,20191224,2
0000000062019092020200626,20191225,2
0000000062019092020200626,20191226,2
0000000062019092020200626,20191227,2
0000000062019092020200626,20191228,2
0000000062019092020200626,20191230,2
0000000062019092020200626,20191231,2
0000000062019092020200626,20200101,2
0000000062019092020200626,20200102,2
0000000062019092020200626,20200103,2
0000000062019092020200626,20200104,2
0000000062019092020200626,20200106,2
0000000062019092020200626,20200222,2
0000000062019092020200626,20200224,2
0000000062019092020200626,20200225,2
